Key,en,vi,th,ja,es,id,km,ph,bn,zh,hk,tr,fr,ru,ko,fa,pt,es-pe,es-mx,sg,in,au
certificates_block_0,Certification,,การรับรอง,認証,Certificación,,វិញ្ញាបនបត្រ,,সনদপত্র,认证,認證,Sertifikasyon,Attestation,Сертификация,인증,گواهینامه,Certificação,,,,,
certificates_block_1,Awards & <br><span>Recognition</span>,,รางวัล & <br><span>การยอมรับ</span>,受賞歴 & <br><span>評価</span>,Premios & <br><span>Reconocimiento</span>,Penghargaan & <br><span>Pengakuan</span>,ពានរង្វាន់ & <br><span>ការទទួលស្គាល់</span>,Mga Parangal & <br><span>Pagkilala</span>,পুরস্কার & <br><span>স্বীকৃতি</span>,奖项与<br><span>认可</span>,獎項與<br><span>認可</span>,Ödüller & <br><span>Tanınırlık</span>,Prix & <br><span>Reconnaissance</span>,Награды & <br><span>Признание</span>,수상 & <br><span>인정</span>,جوایز و <br><span>قدردانی</span>,Prêmios & <br><span>Reconhecimento</span>,Premios & <br><span>Reconocimiento</span>,,,,
certificates_block_2,Learn more,,เรียนรู้เพิ่มเติม,詳細を見る,Aprender más,Pelajari lebih lanjut,ស្វែងយល់បន្ថែម,Matuto pa,আরও জানুন,查看更多,查看更多,Daha fazla öğren,En savoir plus,Узнать больше,자세히 보기,بیشتر بدانید,Saiba mais,Aprender más,,,,
certificates_block_3,"Clients are provided with a simulated account. Their trading activity on this account is replicated in real-time by our exclusive algorithms to our live firm trading account, generating actual cash flow.",,ผู้ใช้งานจะได้รับบัญชีจำลอง โดยกิจกรรมการเทรดจะถูกสะท้อนแบบเรียลไทม์ผ่านอัลกอริทึมของเราไปยังระบบของบริษัท และอาจก่อให้เกิดกระแสเงินสดจริง,クライアントにはシミュレーション口座が提供されます。この口座での取引活動は当社の独自アルゴリズムによりリアルタイムで反映され、実際のキャッシュフローが発生します。,"Los clientes reciben una cuenta simulada. La actividad de trading en esta cuenta se refleja en tiempo real mediante nuestros algoritmos en el sistema de trading de la empresa, pudiendo generar flujo de efectivo real.",,អ្នកប្រើប្រាស់នឹងទទួលបានគណនីស្មាន។ សកម្មភាពជួញដូរនៅលើគណនីនេះនឹងត្រូវបានបញ្ជូនតាមអាល់ហ្គូរីធម៍របស់យើងទៅកាន់ប្រព័ន្ធរបស់ក្រុមហ៊ុនក្នុងពេលវេលាពិត ហើយអាចបង្កើតលំហូរប្រាក់ពិត។,,ব্যবহারকারীদের একটি সিমুলেটেড অ্যাকাউন্ট প্রদান করা হয়। এই অ্যাকাউন্টের ট্রেডিং কার্যক্রম আমাদের অ্যালগরিদমের মাধ্যমে রিয়েল-টাইমে কোম্পানির সিস্টেমে প্রতিফলিত হয় এবং বাস্তব নগদ প্রবাহ তৈরি করতে পারে।,用户将获得一个模拟账户。该账户上的交易活动会通过我们的专有算法在实时环境中映射至公司的交易系统，并可能产生实际资金流动。,用戶將獲得一個模擬帳戶。該帳戶上的交易活動會透過我們的專有演算法即時映射至公司的系統，並可能產生實際資金流動。,"Kullanıcılara simüle edilmiş bir hesap sağlanır. Bu hesap üzerindeki işlem faaliyetleri, özel algoritmalarımız aracılığıyla gerçek zamanlı olarak şirketin işlem sistemine yansıtılır ve fiili nakit akışı oluşabilir.","Les clients disposent d’un compte simulé. L’activité de trading sur ce compte est reflétée en temps réel via nos algorithmes propriétaires dans le système de trading de la société, pouvant générer des flux de trésorerie réels.",Пользователям предоставляется симулированный счёт. Торговая активность на этом счёте отражается в режиме реального времени с использованием наших алгоритмов в системе компании и может приводить к фактическому денежному потоку.,"사용자에게는 시뮬레이션 계정이 제공됩니다. 해당 계정의 거래 활동은 당사의 알고리즘을 통해 실시간으로 시스템에 반영되며, 실제 현금 흐름이 발생할 수 있습니다.",به کاربران یک حساب شبیه‌سازی‌شده ارائه می‌شود. فعالیت‌های معاملاتی این حساب از طریق الگوریتم‌های ما به‌صورت لحظه‌ای در سیستم شرکت منعکس شده و ممکن است منجر به جریان نقدی واقعی شود.,"Os usuários recebem uma conta simulada. A atividade de trading nessa conta é refletida em tempo real por meio de nossos algoritmos no sistema da empresa, podendo gerar fluxo de caixa real.",,,,,
certificates_block_4,Download Handbook,,ดาวน์โหลดคู่มือ,ハンドブックをダウンロード,Descargar manual,Unduh Buku Panduan,ទាញយកសៀវភៅណែនាំ,I-download ang Handbook,হ্যান্ডবুক ডাউনলোড করুন,下载手册,下載手冊,El Kitabını İndir,Télécharger le guide,Скачать руководство,핸드북 다운로드,دانلود راهنما,Baixar Manual,Manual,,,,
features_block_0,The Features,,คุณสมบัติ,特徴,Características,Fitur,មុខងារ,,বৈশিষ্ট্য,功能特点,功能特點,Özellikler,Fonctionnalités,Особенности,기능,ویژگی‌ها,Recursos,Características,,,,
features_block_1,<h3>Why choose <span>WeMasterTrade</span></h3>,,<h3>ทำไมต้องเลือก <span>WeMasterTrade</span></h3>,"<h2 class=""h3"">なぜ <span>WeMasterTrade</span> が日本で最高のプロップファームなのか</h2>",<h3>¿Por qué elegir <span>WeMasterTrade</span>?</h3>,<h3>Mengapa memilih <span>WeMasterTrade</span></h3>,<h3>ហេតុអ្វីជ្រើសរើស <span>WeMasterTrade</span></h3>,,<h3>কেন <span>WeMasterTrade</span> নির্বাচন করবেন</h3>,<h3>为什么选择 <span>WeMasterTrade</span></h3>,<h3>為什麼選擇 <span>WeMasterTrade</span></h3>,<h3>Neden <span>WeMasterTrade</span> seçmelisiniz</h3>,<h3>Pourquoi choisir <span>WeMasterTrade</span></h3>,<h3>Почему стоит выбрать <span>WeMasterTrade</span></h3>,<h3>왜 <span>WeMasterTrade</span>를 선택해야 할까요</h3>,<h3>چرا <span>WeMasterTrade</span> را انتخاب کنیم</h3>,<h3>Por que escolher <span>WeMasterTrade</span></h3>,"<h2 class=""h3"">¿Por qué elegir <span>WeMasterTrade ?</span></h2>",,,,
features_block_10,"<td>Retry Option</td>
																<td>Reset discount program for retake the challenge phase at a lower cost</td>
																<td>N/A</td>",,"<td>ตัวเลือกการลองใหม่</td>
																<td>โปรแกรมส่วนลดรีเซ็ตเพื่อเข้าร่วม Challenge ใหม่ในต้นทุนที่ต่ำกว่า</td>
																<td>N/A</td>","<td>報酬シェア</td>
																<td>チャレンジフェーズから30%＋ファンデッド後最大90%</td>
																<td>条件達成後すぐに最大90%の報酬シェア</td>","<td>Opción de reintento</td>
																<td>Programa de descuento para reiniciar y repetir la fase Challenge a menor costo</td>
																<td>N/A</td>","<td>Opsi Coba Lagi</td>
																<td>Program diskon reset untuk mengikuti kembali fase challenge dengan biaya lebih rendah</td>
																<td>N/A</td>","<td>ជម្រើសសាកល្បងម្ដងទៀត</td>
																<td>កម្មវិធីបញ្ចុះតម្លៃសម្រាប់កំណត់ឡើងវិញ ដើម្បីចូលរួម Challenge ម្ដងទៀតក្នុងតម្លៃទាប</td>
																<td>N/A</td>",,"<td>পুনরায় চেষ্টা করার অপশন</td>
																<td>কম খরচে Challenge পর্যায় পুনরায় নেওয়ার জন্য রিসেট ডিসকাউন্ট প্রোগ্রাম</td>
																<td>N/A</td>","<td>重试选项</td>
																<td>提供重置折扣计划，以更低成本重新参加挑战阶段</td>
																<td>N/A</td>","<td>重試選項</td>
																<td>提供重置折扣計劃，以更低成本重新參加挑戰階段</td>
																<td>N/A</td>","<td>Tekrar Deneme Seçeneği</td>
																<td>Challenge aşamasını daha düşük maliyetle tekrar almak için reset indirim programı</td>
																<td>N/A</td>","<td>Option de nouvelle tentative</td>
																<td>Programme de remise pour réinitialiser et reprendre la phase Challenge à moindre coût</td>
																<td>N/A</td>","<td>Опция повторной попытки</td>
																<td>Программа скидки для сброса и повторного прохождения этапа Challenge по более низкой стоимости</td>
																<td>N/A</td>","<td>재도전 옵션</td>
																<td>더 낮은 비용으로 챌린지 단계를 다시 시도할 수 있는 리셋 할인 프로그램</td>
																<td>N/A</td>","<td>گزینه تلاش مجدد</td>
																<td>برنامه تخفیف برای ریست و شرکت مجدد در مرحله چالش با هزینه کمتر</td>
																<td>N/A</td>","<td>Opção de nova tentativa</td>
																<td>Programa de desconto para reiniciar e refazer a fase Challenge com menor custo</td>
																<td>N/A</td>","<td>Opción de Reintento</td>
																<td>Programa de descuento Reset para repetir la fase challenge a menor costo</td>
																<td>N/A</td>",,,,
features_block_11,"<td>Best Option For</td><td>Beginners, to get familiar and develop trading skills at the lowest cost</td><td>Experienced traders seeking flexibility and performance-based rewards</td>",,<td>เหมาะสำหรับ</td><td>ผู้เริ่มต้น เพื่อเรียนรู้และพัฒนาทักษะการเทรดด้วยต้นทุนต่ำที่สุด</td><td>เทรดเดอร์ที่มีประสบการณ์ที่ต้องการความยืดหยุ่นและผลตอบแทนตามผลงาน</td>,<td>再挑戦オプション</td><td>30%割引でチャレンジフェーズを再受験可能</td><td>N/A</td>,<td>Mejor Opción Para</td><td>Principiantes que desean familiarizarse y desarrollar habilidades de trading al menor costo</td><td>Traders experimentados que buscan flexibilidad y recompensas basadas en el rendimiento</td>,,<td>ជម្រើសល្អបំផុតសម្រាប់</td><td>អ្នកចាប់ផ្តើម ដើម្បីស្គាល់ និងអភិវឌ្ឍជំនាញជួញដូរជាមួយចំណាយទាបបំផុត</td><td>អ្នកជួញដូរដែលមានបទពិសោធន៍ ស្វែងរកភាពបត់បែន និងរង្វាន់ផ្អែកលើលទ្ធផល</td>,,"<td>সর্বোত্তম জন্য</td><td>শিক্ষানবিসদের জন্য, কম খরচে ট্রেডিং শেখা এবং দক্ষতা উন্নয়ন</td><td>অভিজ্ঞ ট্রেডার যারা নমনীয়তা এবং পারফরম্যান্স-ভিত্তিক রিওয়ার্ড খুঁজছেন</td>",<td>适合人群</td><td>初学者，以最低成本熟悉并提升交易技能</td><td>寻求灵活性和绩效奖励的资深交易者</td>,<td>最適合</td><td>初學者：以最低成本熟悉並提升交易技能</td><td>尋求靈活性和績效獎勵的資深交易者</td>,"<td>En Uygun Seçenek</td><td>Yeni başlayanlar için, en düşük maliyetle alışmak ve işlem becerilerini geliştirmek</td><td>Esneklik ve performansa dayalı ödüller arayan deneyimli traderlar</td>",<td>Idéal Pour</td><td>Débutants souhaitant se familiariser et développer leurs compétences de trading à moindre coût</td><td>Traders expérimentés recherchant flexibilité et récompenses basées sur la performance</td>,"<td>Лучший вариант для</td><td>Новичков — для знакомства и развития торговых навыков с минимальными затратами</td><td>Опытных трейдеров, ищущих гибкость и вознаграждение на основе результатов</td>",<td>추천 대상</td><td>초보자: 낮은 비용으로 트레이딩에 익숙해지고 실력을 키우려는 사용자</td><td>유연성과 성과 기반 리워드를 원하는 경험 많은 트레이더</td>,<td>بهترین گزینه برای</td><td>مبتدیان، برای آشنایی و توسعه مهارت‌های معاملاتی با کمترین هزینه</td><td>معامله‌گران باتجربه که به دنبال انعطاف‌پذیری و پاداش مبتنی بر عملکرد هستند</td>,"<td>Melhor Para</td><td>Iniciantes, para se familiarizar e desenvolver habilidades de trading com o menor custo</td><td>Traders experientes que buscam flexibilidade e recompensas baseadas em desempenho</td>",,,,,
features_block_12,,,,"<tr>
									        <td>おすすめ対象</td>
									        <td>最低コストでスキルを磨きたい初心者のプロップトレーダー</td>
									        <td>即時資金提供と柔軟性を求める経験豊富なトレーダー</td>
									    </tr>",,,,,,,,,,,,,,,,,,
